smiles,confidence_score
O=C(/C=C/c1ccco1)C1=C([O-])C(=O)N(CCN2CCOCC2)[C@H]1c1cccs1,57.185005
CC(=O)N[C@H]1[C@H](OC2=C[C@H]3OC(=O)C=C(C)[C@H]3C=C2)O[C@H](CO)[C@@H](O)[C@@H]1O,55.54686
CC(=O)N[C@H]1[C@H](OC2=C[C@H]3OC(=O)C=C(C)[C@@H]3C=C2)O[C@H](CO)[C@@H](O)[C@@H]1O,55.54686
Cc1n[nH]c(C)c1C(=O)C1=C([O-])C(=O)N(CCCN2CCOCC2)[C@@H]1c1ccccn1,53.140057
CCC(=O)Oc1cc(C)c2c(c1)O/C(=C\c1ccncc1)C2=O,51.176163
Cc1cc(OCC(=O)c2ccccc2)cc2c1C(=O)/C(=C/c1cccc(F)c1)O2,50.289978
CC[C@H](C)Sc1nc(=O)c2c([nH]1)NC1=C(C(=O)CC(C)(C)C1)[C@@H]2c1cc2c(cc1[N+](=O)[O-])OCO2,49.804993
COC1=CC(=O)O/C1=C/c1ccc(OC)c(OC)c1,49.78096
Cc1nn(C)c(Cl)c1/C=C/C(=O)NCCN1C(=O)CNC1=O,49.64623
COc1ccc(/C=C2\Oc3c(CN4CCOCC4)c(O)cc(C)c3C2=O)c(OC)c1,49.642418
C=C1CC[C@@H]2[C@@](C)(CO[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)CCC[C@@]2(C)[C@H]1C/C=C1/C(=O)OC[C@H]1O,49.578133
CC1=C[C@@H](C)[C@H](/C=N/[NH+]=C(N)N)[C@@H](C)C1,49.55372
C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,49.277042
O=c1oc2cc(O[C@@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)c(Cl)cc2c2c1CCCC2,48.797653
CCC(=O)Oc1cc(C)c2c(c1)O/C(=C\c1ccc(OC)cc1OC)C2=O,48.45317
COc1c(I)cc(/C=C/C(=S)N2CCOCC2)cc1[N+](=O)[O-],48.06116
Cc1cc(OCC(N)=O)cc2c1C(=O)/C(=C/c1cccc([N+](=O)[O-])c1)O2,48.059944
NC(=O)C(=O)N1CCc2c(nc(-c3ccccn3)[nH]c2=O)C1,47.653786
Cc1c(O)c(=O)ccn1[C@H]1O[C@@H](CO)[C@H](O)[C@H]1O,47.582603
C=CCNC(=O)COc1ccc(C=O)cc1[N+](=O)[O-],47.528206
Cc1nc(C)c(-c2ccc(=O)n(CCNC(=O)Nc3ccc(OC(F)(F)F)cc3)n2)s1,47.405624
CC(C)C[NH+]1CC[C@H](CNC(=O)c2ccc(N3CCNC(=O)CC3)nc2)C1,47.36151
Cc1ccc(C(=O)Oc2cc(C)c3c(c2)O/C(=C\c2ccncc2)C3=O)cc1,47.23253
Cc1cc(OC(=O)[C@H](C)Cl)cc2c1C(=O)/C(=C/c1ccc(Cl)cc1)O2,47.143234
CC[NH+]1CCC[C@@H]1CNC(=O)C(=O)Nc1c[nH]c(=O)[nH]c1=O,47.107803
O=C(/C=C/c1ccc2ccccc2n1)NCCCn1cnc2ccccc21,46.91401
COc1ccc(N2C[C@H](C(=O)NCc3cc(-c4ccccn4)n(C)n3)CC2=O)cc1,46.518112
Cc1nc(CN2CCN(Cc3nnc(-c4ccco4)o3)CC2)cs1,46.466705
Cc1n[nH]c(C)c1[C@H](C)NC(N)=O,46.449547
CNC(=O)/C(=N/Nc1ccc(OC)cc1)C(N)=S,46.264
Cc1ccn2/c(=N/C(=O)c3cccc(C[NH+]4CCCC4)c3)[nH]nc2c1,46.17536
O=C(NCCN1CCN(c2nc3c(F)cc(F)cc3s2)CC1)[C@H]1COc2ccccc2O1,45.997753
O=C1CN(C(=O)/C=C/c2ccc(OCc3cccnc3)cc2)CCN1,45.93926
CCC[NH2+][C@H]1CCOC[C@@H]1SC[C@@H](C)CO,45.80252
Cc1cn2c(/C=C/C(=O)NCCCn3cnc4ccccc43)c(C)nc2s1,45.70646
O=C(NCCn1nc(-c2ccco2)ccc1=O)[C@H]1CCCN(C(=O)NCc2cccs2)C1,45.691963
Cc1nc(C)c(-c2ccc(=O)n(CCNC(=O)c3snnc3C)n2)s1,45.65854
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@@H]1O,45.57995
CCn1cc(C[NH+]2CCC(C(=O)Nc3ccc(Oc4cccnc4)cc3)CC2)cn1,45.4357
COc1ccc(-n2ncc([C@H]3CC(=O)Nc4n[nH]c(C(=O)[O-])c43)c2C)cc1,45.313683
COc1ccc(N2CC[NH+](CCNC(=O)[C@H]3CC(=O)N(c4ccccc4)C3)CC2)cc1,45.288956
Cc1n[nH]c(C)c1[C@@H]1CCC[NH+]1CC(=O)N1CCC(C(N)=O)CC1,45.283005
Cc1nc2cc(NC(=O)[C@H]3CCCN(c4ccc(-n5ccnc5)nn4)C3)ccc2s1,45.186012
O=C(Nc1c[nH]nc1-c1ccccn1)N1CCN(C(=O)c2ccoc2)CC1,45.162964
C[C@H]1C[C@@H]1c1ccc(/C=C/C(=O)NCCN2CCS(=O)(=O)CC2)o1,44.962006
O=C(NCc1ccc(-c2ccn[nH]2)cc1)c1cccnc1-n1cncn1,44.90041
CCCCn1nc(C)c(/C=C/C(=O)N2CCO[C@H](C(N)=O)C2)c1Cl,44.887253
NC(=S)N/N=C/c1ccc(I)cn1,44.88171
CO[C@H]1[C@@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@H](CO)[C@H]1O,44.62082
CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,44.62082
Cc1nonc1CC(=O)N1CCC[C@H](C(=O)Nc2ccc(-c3ccn[nH]3)cc2)C1,44.59433
O=C(O[C@H]1[C@H](Oc2ccc(O)cc2CO)O[C@H](CO)[C@@H](O)[C@@H]1O)c1ccccc1,44.569603
O=C(NCc1ccccn1)[C@@H]1CCC[NH+](C2CCN(Cc3cscn3)CC2)C1,44.55944
CCCOc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O,44.523468
O=C(NCC[NH+]1CCCC1)[C@@H]1CCC[NH+](C2CCN(Cc3ccncc3)CC2)C1,44.519592
Cc1ccn(CCCn2cnc(-c3ccccc3)c2-c2cccnc2)n1,44.495346
Cc1cc(O)cc2c1C(=O)/C(=C\c1c(F)cccc1Cl)O2,44.328297
COc1ccc(/C=C(/C#N)c2nc3cc(C)c(C)cc3[nH]2)cc1[N+](=O)[O-],44.171387
O=S1(=O)C[C@@H](O)[C@H](/N=C/c2ccoc2)C1,43.988323
